,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
fe,1,1,12,12,4,5,10,4,11,10,7,12,7,3,1,13,18,25,9,7,10
ven,2,9,15,22,17,9,42,3,7,15,4,2,5,3,0,2,3,7,3,0,1
dan,2,3,9,29,8,7,24,7,5,8,3,1,2,0,0,0,0,1,0,0,0
tim,1,0,3,12,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0
bre,2,8,13,22,7,4,24,4,18,13,9,20,14,9,1,4,0,2,3,1,1
va,3,11,18,33,8,12,56,35,15,6,16,29,31,13,8,30,28,51,30,9,31
man,1,5,9,29,3,5,36,2,3,6,3,2,2,3,1,6,5,13,4,1,2
dil,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ri,1,10,19,32,16,14,61,15,13,10,23,18,24,35,2,5,7,9,3,5,4
cas,1,12,12,41,14,9,42,10,2,6,1,7,3,9,0,1,3,0,0,0,5
chos,3,8,20,38,9,17,38,1,2,2,1,1,0,0,0,1,0,1,0,1,0
gos,3,9,17,28,14,11,34,0,0,3,3,6,0,3,2,4,1,7,0,4,1
jun,1,0,0,0,0,0,2,0,3,4,1,0,1,0,2,2,3,2,0,1,2
llas,4,3,11,22,9,9,36,5,2,1,1,3,5,8,1,2,1,1,0,0,0
rio,4,2,9,9,3,8,11,3,4,8,6,9,11,15,1,1,1,5,1,3,0
nues,5,11,29,47,23,24,58,0,3,8,3,6,5,1,0,0,0,0,0,0,0
mies,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bier,2,5,3,5,6,2,4,3,0,0,1,2,0,0,0,0,0,0,0,0,0
les,7,11,25,45,15,19,56,9,10,17,14,19,12,18,2,5,10,4,4,3,7
res,4,6,16,30,16,15,49,7,4,13,10,18,19,15,2,4,6,4,3,2,2
jas,2,2,3,2,1,2,17,0,2,1,0,0,1,6,1,0,1,2,1,2,0
chas,2,4,11,24,24,10,23,0,0,1,1,1,0,0,0,1,3,1,2,0,2
fub,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fut,4,4,13,20,5,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bol,6,11,26,31,10,9,22,0,1,1,0,0,1,0,3,8,11,17,10,10,9
bas,3,6,9,13,6,5,4,0,1,0,1,0,2,5,1,0,0,0,0,0,1
dor,3,5,8,6,2,6,15,2,2,6,6,0,6,21,0,0,1,2,0,1,0
nen,1,3,4,14,10,4,28,2,2,0,2,3,4,2,1,0,1,0,0,0,0
rron,1,5,7,7,3,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bros,4,2,15,34,14,11,39,2,0,2,2,0,1,1,0,0,0,0,0,0,0
cuen,2,3,10,19,4,9,28,13,0,1,15,6,1,0,0,4,4,4,1,1,2
tos,3,12,15,29,15,12,48,23,3,12,11,34,9,7,1,2,3,5,1,2,3
tam,2,9,6,14,12,8,27,1,1,8,1,5,0,0,0,2,3,0,3,1,1
ai,2,6,3,27,6,21,33,0,0,2,1,0,0,8,6,26,31,58,26,23,15
cio,1,4,4,7,2,7,12,2,5,12,21,33,17,10,0,3,1,5,1,2,0
sir,1,0,1,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ve,1,4,10,30,7,14,29,27,13,14,17,12,15,11,7,13,16,17,8,6,5
he,3,3,3,1,2,2,6,8,5,5,8,8,11,9,0,1,2,1,0,1,0
pin,1,2,6,9,3,8,17,1,0,0,0,1,0,5,0,0,0,0,0,0,0
dos,2,7,10,23,9,12,46,18,11,22,9,27,21,25,0,3,7,10,2,4,2
cons,1,0,2,2,1,0,0,0,0,1,1,3,4,9,0,0,0,0,0,0,0
tru,1,1,3,7,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
llen,1,1,0,2,0,0,2,0,0,0,0,0,0,0,1,1,3,4,1,3,0
tros,2,8,9,24,16,6,46,1,3,3,2,5,5,1,1,0,1,0,1,0,0
ci,7,12,12,39,16,17,54,12,21,19,23,31,18,10,2,5,14,10,2,1,0
van,3,1,4,8,1,4,9,6,1,3,3,4,3,1,1,8,5,20,3,5,2
cua,2,6,17,26,15,14,37,2,0,2,2,2,2,13,0,1,2,2,0,0,0
dras,2,3,4,8,5,2,9,3,5,0,2,0,0,4,0,0,0,0,0,0,0
gan,2,2,1,6,4,5,17,4,1,3,0,2,1,3,2,2,2,4,3,0,1
ll,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ha,8,15,38,48,25,14,67,15,22,20,35,24,14,15,20,55,74,110,38,31,32
ce,7,18,36,62,34,34,88,14,18,11,16,18,25,12,1,3,2,4,6,7,1
po,2,4,24,34,11,15,46,17,20,20,36,30,29,39,8,22,22,33,15,7,15
bir,1,3,4,13,5,9,15,0,0,1,1,2,0,0,1,1,7,4,1,3,0
cer,5,0,4,7,2,5,6,3,6,6,8,9,5,3,1,4,3,9,5,1,4
tas,4,9,20,27,25,16,61,22,5,8,8,15,6,10,1,3,8,5,6,1,4
pro,1,1,7,9,4,7,11,1,9,12,13,28,12,10,0,1,2,3,2,0,0
ble,1,1,1,3,2,3,3,0,4,6,4,12,14,1,1,1,1,4,0,3,0
mas,5,7,9,19,9,10,29,16,16,18,15,27,13,8,7,16,21,45,19,3,13
cor,1,2,2,8,0,4,14,0,4,3,2,1,2,5,0,0,0,2,0,1,1
tar,2,4,11,21,9,10,30,2,7,3,9,6,4,7,2,5,12,19,1,4,6
cur,1,0,0,2,0,0,1,0,1,1,0,3,3,0,0,0,0,0,0,0,0
cues,1,3,0,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0
tio,1,3,0,4,2,0,9,3,1,4,1,1,2,0,0,10,18,11,10,3,4
rios,1,1,0,1,0,1,2,1,0,0,5,2,6,2,0,0,2,0,0,0,0
liz,2,0,0,2,4,3,2,1,0,1,1,0,0,0,1,13,15,18,4,6,5
bet,2,0,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,2,1,3,7,5,2,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0
flo,2,0,1,5,2,2,4,1,1,2,0,0,0,4,0,0,2,3,0,1,2
rit,2,3,11,17,7,9,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ge,1,2,12,15,8,7,25,2,1,1,10,18,9,5,0,8,1,2,0,3,0
lus,1,2,2,12,6,3,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ron,2,1,13,10,6,3,22,6,8,19,4,6,1,1,2,11,13,18,6,5,9
gres,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
