,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
mie,7.230135203528306e-06,7.230135203528306e-06,1.4460270407056612e-05,7.230135203528306e-06,0.0,0.0,1.4460270407056612e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,0.0,3.615067601764153e-05,5.7841081628226447e-05,7.953148723881137e-05,4.3380811221169837e-05,2.8920540814113223e-05,1.4460270407056612e-05,0.0003181259489552455
de,0.00017352324488467935,0.0006217916275034343,0.0010122189284939628,0.002103969344226737,0.0009109970356445666,0.0007953148723881137,0.002949895163039549,0.0007591641963704722,0.0009182271708480949,0.0012218928493962838,0.0012941942014315668,0.0014749475815197745,0.001395416094280963,0.0017135420432362084,0.00029643554334466055,0.0007880847371845854,0.0008893066300339817,0.001301424336635095,0.0005350300050610947,0.00040488757139758516,0.0002747451377340756,0.021835008314655485
dri,3.615067601764153e-05,4.3380811221169837e-05,0.0001446027040705661,0.00023136432651290579,0.00011568216325645289,5.7841081628226447e-05,0.00029643554334466055,7.230135203528306e-06,0.0,0.0,0.0,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-05,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0010266791989010195
llos,2.8920540814113223e-05,7.230135203528306e-06,7.230135203528306e-05,0.00015906297447762274,5.0610946424698145e-05,2.8920540814113223e-05,0.00020244378569879258,1.4460270407056612e-05,2.8920540814113223e-05,1.4460270407056612e-05,7.230135203528306e-06,3.615067601764153e-05,7.230135203528306e-06,1.4460270407056612e-05,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0006796327091316607
ay,4.3380811221169837e-05,8.676162244233967e-05,0.0001373725688670378,0.0004554985178222833,0.00015183283927409441,0.0001446027040705661,0.0007374737907598872,7.230135203528306e-06,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,0.0,1.4460270407056612e-05,7.230135203528306e-06,1.4460270407056612e-05,0.0,0.0018147639360856047
un,5.0610946424698145e-05,7.953148723881137e-05,0.00018798351529173595,0.00031089581375171716,7.953148723881137e-05,0.0001373725688670378,0.0004916491938399248,0.00020244378569879258,0.00019521365049526425,0.0003181259489552455,0.0002458245969199624,0.00017352324488467935,0.00020244378569879258,0.00021690405610584918,0.0002530547321234907,0.0007519340611669438,0.0009832983876798497,0.0013375750126527366,0.000520569734654038,0.00039765743619405683,0.0003759670305834719,0.00751211047646591
to,8.676162244233967e-05,0.00018798351529173595,0.0003904273009905285,0.0007374737907598872,0.00031089581375171716,0.00032535608415877376,0.001229122984599812,0.00041934784180464176,0.00039765743619405683,0.00044826838261875497,0.0005494902754681512,0.0004554985178222833,0.00043380811221169837,0.00028197527293760395,0.00029643554334466055,0.0012218928493962838,0.0013520352830597932,0.0019738269105632274,0.0008242354132022269,0.0005350300050610947,0.0005784108162822645,0.013035933771961536
que,9.399175764586797e-05,0.00035427662497288697,0.000520569734654038,0.0011423613621574724,0.00042657797700817004,0.0003759670305834719,0.0011206709565468875,0.0008170052779986986,0.0007519340611669438,0.0006940929795387174,0.0005350300050610947,0.0006724025739281325,0.0006796327091316607,0.00031089581375171716,0.00026751500253054735,0.0009977586580869062,0.0010266791989010195,0.0016195502855903406,0.0006290217627069626,0.000520569734654038,0.0004844190586363965,0.014040922565251971
hue,7.230135203528306e-06,0.0,7.230135203528306e-06,7.230135203528306e-06,0.0,0.0,7.230135203528306e-06,1.4460270407056612e-05,0.0,7.230135203528306e-06,0.0,0.0,0.0,1.4460270407056612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.507121683175475e-05
le,5.7841081628226447e-05,0.00019521365049526425,0.00032535608415877376,0.0006507121683175475,0.00031089581375171716,0.00038319716578700023,0.0008965367652375099,0.0003904273009905285,0.0002530547321234907,0.00019521365049526425,0.00020967392090232088,0.00011568216325645289,0.0001373725688670378,0.0001446027040705661,0.0001446027040705661,0.00040488757139758516,0.0003181259489552455,0.0008170052779986986,0.000260284867327019,0.00031089581375171716,0.00029643554334466055,0.006818017496927193
mu,7.230135203528306e-05,0.0001373725688670378,0.00041934784180464176,0.0006868628443351891,0.00029643554334466055,0.00035427662497288697,0.0008459258188128118,0.00010122189284939629,0.0001373725688670378,0.00015906297447762274,0.00015183283927409441,2.8920540814113223e-05,2.1690405610584918e-05,0.0001446027040705661,5.7841081628226447e-05,0.00043380811221169837,0.000614561492299906,0.000874846359626925,0.00028197527293760395,0.00031089581375171716,0.00029643554334466055,0.006427590195936664
mal,7.230135203528306e-06,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,7.230135203528306e-06,7.230135203528306e-06,0.0,2.8920540814113223e-05,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,1.4460270407056612e-05,0.0,0.0,0.0,7.953148723881137e-05
tan,2.8920540814113223e-05,0.00010122189284939629,5.7841081628226447e-05,0.0001373725688670378,6.507121683175475e-05,6.507121683175475e-05,0.00019521365049526425,7.230135203528306e-05,0.00011568216325645289,7.230135203528306e-05,7.953148723881137e-05,5.7841081628226447e-05,0.0001229122984599812,0.00016629310968115104,7.230135203528306e-06,0.0001229122984599812,7.953148723881137e-05,0.00020244378569879258,7.230135203528306e-05,6.507121683175475e-05,0.00011568216325645289,0.002002747451377341
bien,2.1690405610584918e-05,0.00010122189284939629,6.507121683175475e-05,0.0001301424336635095,0.0001229122984599812,6.507121683175475e-05,0.00026751500253054735,3.615067601764153e-05,1.4460270407056612e-05,5.7841081628226447e-05,3.615067601764153e-05,4.3380811221169837e-05,1.4460270407056612e-05,0.0,2.8920540814113223e-05,3.615067601764153e-05,9.399175764586797e-05,0.00018075338008820765,6.507121683175475e-05,2.8920540814113223e-05,3.615067601764153e-05,0.0014460270407056612
jar,7.230135203528306e-06,1.4460270407056612e-05,4.3380811221169837e-05,7.230135203528306e-05,5.0610946424698145e-05,2.1690405610584918e-05,9.399175764586797e-05,7.230135203528306e-06,2.8920540814113223e-05,5.7841081628226447e-05,7.230135203528306e-06,2.1690405610584918e-05,0.0,1.4460270407056612e-05,0.0,5.0610946424698145e-05,5.7841081628226447e-05,7.953148723881137e-05,5.7841081628226447e-05,2.1690405610584918e-05,3.615067601764153e-05,0.0007447039259634155
di,6.507121683175475e-05,0.00015906297447762274,0.00043380811221169837,0.0007519340611669438,0.0003904273009905285,0.0003470464897693587,0.0009182271708480949,0.00022413419130937748,0.00018798351529173595,0.00016629310968115104,0.00021690405610584918,0.00020244378569879258,0.00026751500253054735,5.0610946424698145e-05,5.7841081628226447e-05,0.0001373725688670378,0.00016629310968115104,0.00020967392090232088,0.00010845202805292459,7.953148723881137e-05,0.0001301424336635095,0.005270768563372135
nes,5.7841081628226447e-05,0.00017352324488467935,0.0002385944617164341,0.0005494902754681512,0.000260284867327019,0.00019521365049526425,0.000614561492299906,2.8920540814113223e-05,2.1690405610584918e-05,5.0610946424698145e-05,0.00011568216325645289,0.00018798351529173595,0.00011568216325645289,8.676162244233967e-05,7.230135203528306e-06,7.230135203528306e-06,0.0,1.4460270407056612e-05,7.230135203528306e-06,1.4460270407056612e-05,0.0,0.0027474513773407564
a,0.0005639505458752079,0.001250813390210397,0.002552237726845492,0.004424842744559323,0.002060588533005567,0.00221965150748319,0.006593883305617815,0.0008386956836092835,0.0008893066300339817,0.0010122189284939628,0.0008676162244233967,0.0009543778468657364,0.0007591641963704722,0.000542260140264623,0.0003687368953799436,0.0015400187983515292,0.00217627069626202,0.002877593811004266,0.001207432578989227,0.0010122189284939628,0.000874846359626925,0.03558672547176632
si,7.230135203528306e-05,0.00010845202805292459,0.000260284867327019,0.0005639505458752079,0.000260284867327019,0.00026751500253054735,0.0008603860892198685,0.00018075338008820765,0.0001229122984599812,0.00016629310968115104,0.00029643554334466055,0.00033981635456583036,0.000260284867327019,0.00016629310968115104,0.0,0.0001301424336635095,0.00018075338008820765,0.00019521365049526425,6.507121683175475e-05,6.507121683175475e-05,7.230135203528306e-05,0.004634516665461644
lon,3.615067601764153e-05,3.615067601764153e-05,5.7841081628226447e-05,0.00018798351529173595,5.0610946424698145e-05,8.676162244233967e-05,0.00020967392090232088,7.230135203528306e-06,0.0,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,2.8920540814113223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007302436555563589
den,2.1690405610584918e-05,2.1690405610584918e-05,2.1690405610584918e-05,4.3380811221169837e-05,2.1690405610584918e-05,2.1690405610584918e-05,5.0610946424698145e-05,2.1690405610584918e-05,0.0,2.8920540814113223e-05,7.230135203528306e-05,8.676162244233967e-05,9.399175764586797e-05,1.4460270407056612e-05,0.0,7.230135203528306e-06,1.4460270407056612e-05,2.1690405610584918e-05,7.230135203528306e-06,0.0,7.230135203528306e-06,0.0005784108162822645
