,Level,Syllable,SyllableFrequency,Pattern,PatternFrequency,SyllableProbability,PatternProbability,TotalSyllables
1_lir,1,lir,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_las,1,las,15,CVC,266,0.008333333333333333,0.14777777777777779,1800
1_be,1,be,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_mis,1,mis,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
4_ve,4,ve,17,CV,5507,0.0015309798270893371,0.49594740634005763,11104
4_ner,4,ner,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_gua,4,gua,9,CVV,861,0.0008105187319884726,0.07753962536023054,11104
4_nom,4,nom,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_tum,4,tum,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_va,4,va,51,CV,5507,0.004592939481268011,0.49594740634005763,11104
4_tie,4,tie,3,CVV,861,0.00027017291066282423,0.07753962536023054,11104
4_nar,4,nar,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_bie,4,bie,1,CVV,861,9.005763688760806e-05,0.07753962536023054,11104
4_pue,4,pue,3,CVV,861,0.00027017291066282423,0.07753962536023054,11104
4_van,4,van,20,CVC,1448,0.0018011527377521613,0.1304034582132565,11104
4_mi,4,mi,45,CV,5507,0.004052593659942363,0.49594740634005763,11104
4_na,4,na,137,CV,5507,0.012337896253602305,0.49594740634005763,11104
4_tre,4,tre,4,CCV,538,0.00036023054755043225,0.048451008645533145,11104
4_cias,4,cias,1,CVVC,400,9.005763688760806e-05,0.03602305475504323,11104
4_cal,4,cal,14,CVC,1448,0.001260806916426513,0.1304034582132565,11104
4_gel,4,gel,2,CVC,1448,0.00018011527377521613,0.1304034582132565,11104
4_pen,4,pen,25,CVC,1448,0.0022514409221902018,0.1304034582132565,11104
4_cam,4,cam,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_dios,4,dios,3,CVVC,400,0.00027017291066282423,0.03602305475504323,11104
4_pes,4,pes,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_ye,4,ye,6,CV,5507,0.0005403458213256485,0.49594740634005763,11104
4_llu,4,llu,33,CCV,538,0.0029719020172910664,0.048451008645533145,11104
4_yu,4,yu,1,CV,5507,9.005763688760806e-05,0.49594740634005763,11104
4_brin,4,brin,2,CCVC,67,0.00018011527377521613,0.006033861671469741,11104
4_jue,4,jue,1,CVV,861,9.005763688760806e-05,0.07753962536023054,11104
4_sion,4,sion,2,CVVC,400,0.00018011527377521613,0.03602305475504323,11104
4_as,4,as,15,VC,928,0.001350864553314121,0.08357348703170028,11104
4_gre,4,gre,13,CCV,538,0.0011707492795389048,0.048451008645533145,11104
4_den,4,den,3,CVC,1448,0.00027017291066282423,0.1304034582132565,11104
4_bri,4,bri,46,CCV,538,0.004142651296829971,0.048451008645533145,11104
4_ay,4,ay,2,VV,74,0.00018011527377521613,0.006664265129682997,11104
4_mal,4,mal,2,CVC,1448,0.00018011527377521613,0.1304034582132565,11104
4_via,4,via,39,CVV,861,0.0035122478386167147,0.07753962536023054,11104
4_am,4,am,1,VC,928,9.005763688760806e-05,0.08357348703170028,11104
4_tras,4,tras,1,CCVC,67,9.005763688760806e-05,0.006033861671469741,11104
4_has,4,has,22,CVC,1448,0.0019812680115273776,0.1304034582132565,11104
4_i,4,i,50,V,1240,0.0045028818443804035,0.11167146974063401,11104
4_fi,4,fi,7,CV,5507,0.0006304034582132565,0.49594740634005763,11104
4_ves,4,ves,13,CVC,1448,0.0011707492795389048,0.1304034582132565,11104
4_dur,4,dur,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_for,4,for,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_gris,4,gris,1,CCVC,67,9.005763688760806e-05,0.006033861671469741,11104
4_nue,4,nue,4,CVV,861,0.00036023054755043225,0.07753962536023054,11104
4_plar,4,plar,3,CCVC,67,0.00027017291066282423,0.006033861671469741,11104
4_cuan,4,cuan,43,CVVC,400,0.003872478386167147,0.03602305475504323,11104
4_pa,4,pa,159,CV,5507,0.014319164265129683,0.49594740634005763,11104
4_tas,4,tas,5,CVC,1448,0.00045028818443804033,0.1304034582132565,11104
4_rri,4,rri,17,CCV,538,0.0015309798270893371,0.048451008645533145,11104
4_pla,4,pla,3,CCV,538,0.00027017291066282423,0.048451008645533145,11104
4_ji,4,ji,2,CV,5507,0.00018011527377521613,0.49594740634005763,11104
4_sa,4,sa,188,CV,5507,0.016930835734870316,0.49594740634005763,11104
4_sus,4,sus,36,CVC,1448,0.0032420749279538905,0.1304034582132565,11104
4_jun,4,jun,2,CVC,1448,0.00018011527377521613,0.1304034582132565,11104
4_rin,4,rin,3,CVC,1448,0.00027017291066282423,0.1304034582132565,11104
4_ton,4,ton,46,CVC,1448,0.004142651296829971,0.1304034582132565,11104
4_son,4,son,8,CVC,1448,0.0007204610951008645,0.1304034582132565,11104
4_pro,4,pro,3,CCV,538,0.00027017291066282423,0.048451008645533145,11104
4_se,4,se,324,CV,5507,0.029178674351585013,0.49594740634005763,11104
4_n,4,n,3,C,5,0.00027017291066282423,0.00045028818443804033,11104
4_sem,4,sem,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_hay,4,hay,3,CVV,861,0.00027017291066282423,0.07753962536023054,11104
4_pra,4,pra,2,CCV,538,0.00018011527377521613,0.048451008645533145,11104
4_xi,4,xi,5,CV,5507,0.00045028818443804033,0.49594740634005763,11104
4_tres,4,tres,1,CCVC,67,9.005763688760806e-05,0.006033861671469741,11104
4_ber,4,ber,8,CVC,1448,0.0007204610951008645,0.1304034582132565,11104
4_ju,4,ju,16,CV,5507,0.001440922190201729,0.49594740634005763,11104
4_jas,4,jas,2,CVC,1448,0.00018011527377521613,0.1304034582132565,11104
4_lar,4,lar,20,CVC,1448,0.0018011527377521613,0.1304034582132565,11104
4_tia,4,tia,2,CVV,861,0.00018011527377521613,0.07753962536023054,11104
4_mo,4,mo,53,CV,5507,0.004773054755043227,0.49594740634005763,11104
4_sue,4,sue,5,CVV,861,0.00045028818443804033,0.07753962536023054,11104
4_cru,4,cru,2,CCV,538,0.00018011527377521613,0.048451008645533145,11104
4_her,4,her,6,CVC,1448,0.0005403458213256485,0.1304034582132565,11104
4_rrer,4,rrer,1,CCVC,67,9.005763688760806e-05,0.006033861671469741,11104
4_per,4,per,7,CVC,1448,0.0006304034582132565,0.1304034582132565,11104
4_siem,4,siem,5,CVVC,400,0.00045028818443804033,0.03602305475504323,11104
4_qes,4,qes,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_ver,4,ver,39,CVC,1448,0.0035122478386167147,0.1304034582132565,11104
4_vi,4,vi,22,CV,5507,0.0019812680115273776,0.49594740634005763,11104
4_frio,4,frio,5,CCVV,20,0.00045028818443804033,0.0018011527377521613,11104
4_cie,4,cie,25,CVV,861,0.0022514409221902018,0.07753962536023054,11104
4_guas,4,guas,51,CVVC,400,0.004592939481268011,0.03602305475504323,11104
4_qui,4,qui,12,CVV,861,0.001080691642651297,0.07753962536023054,11104
4_ras,4,ras,8,CVC,1448,0.0007204610951008645,0.1304034582132565,11104
4_jie,4,jie,1,CVV,861,9.005763688760806e-05,0.07753962536023054,11104
4_pan,4,pan,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_bes,4,bes,13,CVC,1448,0.0011707492795389048,0.1304034582132565,11104
4_trai,4,trai,3,CCVV,20,0.00027017291066282423,0.0018011527377521613,11104
4_san,4,san,2,CVC,1448,0.00018011527377521613,0.1304034582132565,11104
4_lia,4,lia,10,CVV,861,0.0009005763688760807,0.07753962536023054,11104
4_me,4,me,20,CV,5507,0.0018011527377521613,0.49594740634005763,11104
4_vue,4,vue,1,CVV,861,9.005763688760806e-05,0.07753962536023054,11104
4_boi,4,boi,1,CVV,861,9.005763688760806e-05,0.07753962536023054,11104
4_tan,4,tan,28,CVC,1448,0.002521613832853026,0.1304034582132565,11104
4_za,4,za,6,CV,5507,0.0005403458213256485,0.49594740634005763,11104
4_pris,4,pris,1,CCVC,67,9.005763688760806e-05,0.006033861671469741,11104
4_tu,4,tu,16,CV,5507,0.001440922190201729,0.49594740634005763,11104
4_ban,4,ban,10,CVC,1448,0.0009005763688760807,0.1304034582132565,11104
4_su,4,su,187,CV,5507,0.01684077809798271,0.49594740634005763,11104
4_buen,4,buen,1,CVVC,400,9.005763688760806e-05,0.03602305475504323,11104
4_bro,4,bro,3,CCV,538,0.00027017291066282423,0.048451008645533145,11104
4_des,4,des,54,CVC,1448,0.004863112391930836,0.1304034582132565,11104
4_le,4,le,113,CV,5507,0.010176512968299712,0.49594740634005763,11104
4_pren,4,pren,4,CCVC,67,0.00036023054755043225,0.006033861671469741,11104
4_buel,4,buel,1,CVVC,400,9.005763688760806e-05,0.03602305475504323,11104
4_ya,4,ya,29,CV,5507,0.002611671469740634,0.49594740634005763,11104
4_cen,4,cen,1,CVC,1448,9.005763688760806e-05,0.1304034582132565,11104
4_cu,4,cu,13,CV,5507,0.0011707492795389048,0.49594740634005763,11104
4_h,4,h,1,C,5,9.005763688760806e-05,0.00045028818443804033,11104
4_jor,4,jor,2,CVC,1448,0.00018011527377521613,0.1304034582132565,11104
4_mas,4,mas,45,CVC,1448,0.004052593659942363,0.1304034582132565,11104
4_cuem,4,cuem,1,CVVC,400,9.005763688760806e-05,0.03602305475504323,11104
4_bu,4,bu,1,CV,5507,9.005763688760806e-05,0.49594740634005763,11104
